lulcID,lulc,ontoName
21,Mosaic of Uses,ramie
21,Mosaic of Uses,natural rubber
21,Mosaic of Uses,sisal
21,Mosaic of Uses,satsuma
21,Mosaic of Uses,tea
21,Mosaic of Uses,tobacco
21,Mosaic of Uses,tung nut
21,Mosaic of Uses,walnut
21,Mosaic of Uses,acai
21,Mosaic of Uses,soybean
21,Mosaic of Uses,rice
21,Mosaic of Uses,coffee
21,Mosaic of Uses,grapefruit
21,Mosaic of Uses,pomelo
21,Mosaic of Uses,lemon
21,Mosaic of Uses,lime
21,Mosaic of Uses,orange
21,Mosaic of Uses,nectarine
21,Mosaic of Uses,clementine | mandarine
21,Mosaic of Uses,tangerine
21,Mosaic of Uses,cotton
1,Forest,noMatch
3,Forest Formation,noMatch
4,Savanna Formation,noMatch
5,Mangrove,noMatch
9,Forest Plantation,noMatch
10,Non Forest Natural Formation,noMatch
11,Wetland,noMatch
12,Grassland,noMatch
13,Other non Forest Formations,noMatch
15,Pasture,noMatch
22,Non vegetated area,noMatch
23,"Beach, Dune and Sand Spot",noMatch
24,Urban Area,noMatch
25,Other non Vegetated Areas,noMatch
26,Water,noMatch
27,Non Observed,noMatch
29,Rocky Outcrop,noMatch
30,Mining,noMatch
31,Aquaculture,noMatch
32,Hypersaline Tidal Falt,noMatch
33,"River, Lake and Ocean",noMatch
49,Wooded Sandbank Vegetation,noMatch
50,Herbaceous Sandbank Vegetation,noMatch
